===================Training Loss(Thu Jul 11 17:12:44 2019)=================
(epoch: 21, iters: 200, time: 0.125, data:2.419) loss_G: 4.680 loss_D: 0.534 
(epoch: 21, iters: 400, time: 0.125, data:19.060) loss_G: 5.972 loss_D: 0.484 
(epoch: 21, iters: 600, time: 0.125, data:35.711) loss_G: 1.980 loss_D: 0.669 
(epoch: 22, iters: 200, time: 0.125, data:2.409) loss_G: 2.465 loss_D: 0.509 
(epoch: 22, iters: 400, time: 0.130, data:19.140) loss_G: 3.968 loss_D: 0.441 
(epoch: 22, iters: 600, time: 0.120, data:36.121) loss_G: 3.197 loss_D: 0.486 
(epoch: 23, iters: 200, time: 0.120, data:2.409) loss_G: 1.995 loss_D: 0.573 
(epoch: 23, iters: 400, time: 0.125, data:19.210) loss_G: 3.985 loss_D: 0.411 
(epoch: 23, iters: 600, time: 0.125, data:35.831) loss_G: 3.837 loss_D: 0.311 
(epoch: 24, iters: 200, time: 0.125, data:2.429) loss_G: 3.796 loss_D: 0.611 
(epoch: 24, iters: 400, time: 0.125, data:19.090) loss_G: 5.450 loss_D: 0.530 
(epoch: 24, iters: 600, time: 0.120, data:35.721) loss_G: 2.811 loss_D: 0.515 
(epoch: 25, iters: 200, time: 0.125, data:2.419) loss_G: 10.365 loss_D: 0.524 
(epoch: 25, iters: 400, time: 0.125, data:19.070) loss_G: 4.302 loss_D: 0.535 
(epoch: 25, iters: 600, time: 0.125, data:35.721) loss_G: 8.255 loss_D: 0.618 
(epoch: 26, iters: 200, time: 0.125, data:2.419) loss_G: 4.193 loss_D: 0.470 
(epoch: 26, iters: 400, time: 0.125, data:19.050) loss_G: 4.280 loss_D: 0.495 
(epoch: 26, iters: 600, time: 0.125, data:35.701) loss_G: 5.446 loss_D: 0.768 
(epoch: 27, iters: 200, time: 0.120, data:2.419) loss_G: 3.773 loss_D: 0.524 
(epoch: 27, iters: 400, time: 0.125, data:19.090) loss_G: 3.443 loss_D: 0.650 
(epoch: 27, iters: 600, time: 0.125, data:35.741) loss_G: 1.520 loss_D: 0.717 
(epoch: 28, iters: 200, time: 0.120, data:2.419) loss_G: 1.924 loss_D: 0.595 
(epoch: 28, iters: 400, time: 0.120, data:19.040) loss_G: 2.210 loss_D: 0.588 
(epoch: 28, iters: 600, time: 0.120, data:35.691) loss_G: 3.445 loss_D: 0.667 
(epoch: 29, iters: 200, time: 0.125, data:2.429) loss_G: 0.922 loss_D: 0.771 
(epoch: 29, iters: 400, time: 0.125, data:19.100) loss_G: 3.091 loss_D: 0.687 
(epoch: 29, iters: 600, time: 0.125, data:35.771) loss_G: 1.021 loss_D: 0.748 
(epoch: 30, iters: 200, time: 0.125, data:2.589) loss_G: 1.862 loss_D: 0.617 
(epoch: 30, iters: 400, time: 0.120, data:19.250) loss_G: 1.075 loss_D: 0.780 
(epoch: 30, iters: 600, time: 0.125, data:35.921) loss_G: 2.424 loss_D: 0.684 
(epoch: 31, iters: 200, time: 0.135, data:2.499) loss_G: 0.713 loss_D: 0.733 
(epoch: 31, iters: 400, time: 0.125, data:19.650) loss_G: 1.388 loss_D: 0.702 
(epoch: 31, iters: 600, time: 0.125, data:36.860) loss_G: 1.062 loss_D: 0.719 
(epoch: 32, iters: 200, time: 0.130, data:2.409) loss_G: 1.578 loss_D: 0.698 
(epoch: 32, iters: 400, time: 0.125, data:19.450) loss_G: 2.070 loss_D: 0.682 
(epoch: 32, iters: 600, time: 0.125, data:36.261) loss_G: 1.504 loss_D: 0.653 
(epoch: 33, iters: 200, time: 0.125, data:2.439) loss_G: 0.878 loss_D: 0.665 
(epoch: 33, iters: 400, time: 0.125, data:19.130) loss_G: 1.717 loss_D: 0.662 
(epoch: 33, iters: 600, time: 0.125, data:36.081) loss_G: 1.684 loss_D: 0.710 
